	fuel_cooking	fuel_cooking_Electricity_Gas	fuel_cooking_Paraffin_Stove	fuel_cooking_Open_fires_inside	fuel_cooking_Open_fires_outside	fuel_heating	fuel_heating_Electricity	fuel_heating_Gas	fuel_cooking_heating_Paraffin	fuel_heating_Wood_Coal	fuel_heating_Other
179	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
180	4	0.0	0.0	0.0	1.0	5	0.0	0.0	0.0	0.0	1.0
181	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
182	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
183	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
184	2;4	0.0	1.0	0.0	1.0	3;4	0.0	0.0	1.0	1.0	0.0
185	2	0.0	1.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
186	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
187	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
188	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
189	1	1.0	0.0	0.0	0.0	4	0.0	0.0	0.0	1.0	0.0
190	2	0.0	1.0	0.0	0.0	5	0.0	0.0	0.0	0.0	1.0
191	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
192	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
193	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
194	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
195	1;2	1.0	1.0	0.0	0.0	5	0.0	0.0	0.0	0.0	1.0
196	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
197	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
198	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
199	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
200	2	0.0	1.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
201	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
202	2	0.0	1.0	0.0	0.0	4	0.0	0.0	0.0	1.0	0.0
203	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
204	2	0.0	1.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
205	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
206	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
207	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
208	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
209	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
210	2;4	0.0	1.0	0.0	1.0	5	0.0	0.0	0.0	0.0	1.0
211	1;4	1.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
212	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
213	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
214	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
215	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
216	NaN	NaN	NaN	NaN	NaN	3	0.0	0.0	1.0	0.0	0.0
